"GEOID","med_income","x","y","areas","adjusted_rate"
45005,25327,-81.358285489508,32.9880996462135,0.00281169778827034,86.6109284674477
45021,35389,-81.6203249945763,35.0481583070642,0.00270527572011295,85.4590271474216
45025,32083,-80.1586568352458,34.6397892674618,0.00548935175218377,86.4229423697816
45045,50540,-82.3705320827631,34.893995024605,0.00541505158769482,85.0371429093503
45049,31410,-81.1407951489801,32.7762527085367,0.0038335732700713,86.6812801592889
45053,37141,-81.0314946873306,32.4364285189956,0.00458229389839583,83.6678992606159
45063,53857,-81.272086417085,33.9022250478235,0.00516246667525713,85.4601398375528
45091,54117,-81.184379230103,34.9747511389485,0.00473946542073284,83.3393095042824
46093,52473,-102.718447529936,44.5664719864488,0.0236701719800295,73.9366727984215
46095,30938,-100.759758368321,43.581420394433,0.00891147601746774,73.8150237014905
46103,50890,-102.824227510268,44.0049853915882,0.0189267857849205,78.239362150417
47005,33240,-88.0683741576386,36.069551951957,0.00297132634549692,84.7711657768525
47013,32028,-84.149475827169,36.4034452239035,0.00339199581444036,83.501150585446
47019,33213,-82.1274365841502,36.292697254077,0.00236629970327063,73.1214563973915
47029,31187,-83.1211842407235,35.9253534764131,0.00301723028236161,81.3489590899626
47033,35464,-89.1394392198416,35.8135375946044,0.00180954308687593,75.4111405372583
47049,30259,-84.9325387852798,36.3803777993781,0.00339731418344667,88.3816455015755
47081,36334,-87.4734215773455,35.8031973955503,0.00417116450635358,82.2900879216852
47097,30281,-89.6316227880124,35.7609755427467,0.00345683959033545,85.0694038199249
47121,34424,-84.8136592590807,35.5126827028912,0.00147621558629114,83.5484064442054
47149,56219,-86.4167112401481,35.8426373998154,0.0042496241182512,83.4166039395519
47159,43914,-85.9567139537082,36.2504360546952,0.00221528666729964,80.1417833349688
48007,41690,-96.9935829723052,28.1246180652706,0.0019883175658944,83.4822637973774
48025,42302,-97.7409237745389,28.4172669448212,0.00600488567968784,78.2273945912172
48035,44674,-97.6341922256876,31.9002675322944,0.0068326194490806,82.7868181083753
48067,37352,-94.3435667917602,33.0775147147014,0.00654389429410816,81.8919054967599
48083,35156,-99.4536045813124,31.7729488537141,0.00873445292360879,84.2676969803512
48091,65833,-98.2782370337076,29.8081718451316,0.00392039487760638,79.5835201036205
48103,58333,-102.515474158968,31.4285456053953,0.0053601919191676,81.8553083302906
48139,62465,-96.7945605934651,32.3483885215911,0.00648625848952445,80.473549081577
48151,41406,-100.402189021947,32.7427380143744,0.00614472420848817,81.0488113674337
48167,62313,-94.9629961176834,29.3931141432538,0.0028579412953352,75.6036916800561
48213,41607,-95.8535120654253,32.2120060192749,0.00646366659565474,84.0770873355313
48241,40820,-94.0249617831955,30.7433897877015,0.00660987649258136,82.0594991152433
48245,43540,-94.1628719935168,29.8839308199346,0.00672037865494402,80.7340868870305
48261,36438,-97.7017447248729,26.9283280692532,0.0105320508508938,84.2358775877663
48333,43920,-98.5953919495937,31.4951728193627,0.00511029938135025,82.4100804621281
48347,39538,-94.6156112043024,31.6159024779479,0.00668813135495225,76.2797616021691
48361,49763,-93.8938613202959,30.1212884434466,0.00258800123692928,80.5430944713707
48371,50305,-102.723381981135,30.7808836739516,0.0324802485453277,75.5198462988451
48403,31307,-93.8516894022535,31.3431266584852,0.00393276188847401,81.5360402106791
48427,26172,-98.7387503457526,26.5620746062639,0.00838019596075299,85.1924674559696
48457,41360,-94.3764512360532,30.7710916796708,0.00637926673518748,82.7675804679878
48469,51758,-96.9715164878943,28.7962374869891,0.00606183568188855,80.4060464571475
48471,37666,-95.5722801918516,30.7389468824116,0.0054650689044478,79.6604714358051
48475,51345,-103.102395407382,31.5095978191143,0.0056987192393883,80.9691758533783
48477,51269,-96.4035059322692,30.2145671118359,0.00423920463768579,85.5586489993965
48479,38862,-99.3307835472703,27.7609688402903,0.0230357375322423,69.2792064215954
48499,45686,-95.3820053120233,32.7863573579455,0.00474067211616953,86.4957705279308
49001,50282,-113.235574443662,38.357881117918,0.0175976778692467,84.4096562930958
49003,55038,-113.082544891681,41.5213671554797,0.0457510011010411,82.6514029194938
